	shape	surface	color	target
147	bell	smooth	yellow	edible
148	bell	scaly	white	edible
149	convex	scaly	white	edible
150	convex	smooth	brown	edible
151	convex	scaly	white	edible
152	sunken	fibrous	brown	edible
153	convex	smooth	white	edible
154	convex	scaly	brown	edible
155	bell	scaly	yellow	edible
156	convex	scaly	white	edible
157	bell	scaly	white	edible
158	bell	smooth	yellow	edible
159	bell	smooth	yellow	edible
160	bell	scaly	yellow	edible
161	convex	fibrous	brown	edible
162	flat	scaly	brown	edible
163	convex	scaly	white	edible
164	flat	scaly	yellow	edible
165	bell	smooth	white	edible
166	bell	smooth	white	edible
167	convex	scaly	brown	edible
168	bell	smooth	white	edible
169	convex	fibrous	gray	edible
170	bell	smooth	yellow	edible
171	convex	fibrous	yellow	edible
172	bell	scaly	yellow	edible
173	flat	scaly	yellow	edible
174	bell	scaly	white	edible
175	bell	scaly	white	edible
176	bell	scaly	yellow	edible
177	convex	scaly	yellow	edible
178	bell	smooth	yellow	edible
179	convex	scaly	white	poisonous
180	sunken	fibrous	brown	edible
181	flat	fibrous	brown	edible
182	convex	smooth	yellow	edible
183	flat	scaly	brown	edible
184	convex	scaly	white	poisonous
185	bell	smooth	white	edible
186	flat	fibrous	gray	edible
187	bell	scaly	yellow	edible
188	convex	scaly	brown	edible
189	convex	fibrous	white	edible
190	convex	smooth	white	edible
191	bell	smooth	white	edible
192	flat	smooth	yellow	edible
193	convex	smooth	yellow	edible
194	flat	fibrous	gray	edible
195	bell	smooth	yellow	edible
196	convex	smooth	white	edible
197	convex	scaly	white	edible
198	flat	smooth	white	edible
199	convex	scaly	yellow	edible
200	bell	smooth	white	edible
201	convex	smooth	white	edible
202	convex	fibrous	white	edible
203	flat	scaly	brown	edible
204	convex	smooth	white	poisonous
205	bell	smooth	white	edible
206	bell	smooth	white	edible
207	bell	scaly	white	edible
208	bell	scaly	white	edible
209	convex	smooth	yellow	edible
210	bell	smooth	white	edible
211	convex	fibrous	yellow	edible
212	convex	fibrous	gray	edible
213	flat	scaly	yellow	edible
214	bell	smooth	white	edible
215	convex	smooth	yellow	edible
216	convex	scaly	yellow	edible
217	convex	scaly	white	edible
218	sunken	fibrous	gray	edible
219	convex	smooth	white	edible
220	convex	smooth	white	poisonous
221	convex	scaly	yellow	edible
222	flat	fibrous	white	edible
223	convex	scaly	white	edible
224	bell	scaly	white	edible
225	convex	smooth	white	edible
226	convex	smooth	yellow	edible
227	convex	scaly	brown	poisonous
228	bell	smooth	yellow	edible
229	convex	fibrous	gray	edible
230	convex	scaly	white	poisonous
231	convex	scaly	yellow	edible
232	flat	fibrous	brown	edible
233	bell	smooth	white	edible
234	convex	fibrous	white	edible
235	convex	scaly	white	edible
236	bell	scaly	yellow	edible
237	convex	scaly	yellow	edible
238	flat	scaly	yellow	edible
239	flat	scaly	yellow	edible
240	convex	smooth	white	edible
241	convex	smooth	white	edible
242	convex	smooth	white	poisonous
243	flat	fibrous	white	edible
244	convex	smooth	white	edible
245	convex	smooth	white	edible
246	convex	scaly	white	edible
247	flat	scaly	yellow	edible
248	convex	smooth	brown	edible
249	flat	scaly	yellow	edible
250	convex	smooth	brown	poisonous
251	sunken	fibrous	brown	edible
252	bell	scaly	yellow	edible
253	bell	smooth	white	edible
254	bell	scaly	white	edible
255	flat	fibrous	brown	edible
256	convex	smooth	white	edible
257	bell	scaly	white	edible
258	bell	scaly	white	edible
259	flat	scaly	brown	edible
260	convex	scaly	white	poisonous
261	convex	smooth	white	edible
262	convex	scaly	white	edible
263	flat	fibrous	white	edible
264	flat	fibrous	gray	edible
265	flat	smooth	gray	edible
266	convex	scaly	yellow	edible
267	bell	smooth	white	edible
268	flat	scaly	brown	poisonous
269	convex	smooth	white	edible
270	flat	smooth	brown	poisonous
271	convex	scaly	white	edible
272	convex	scaly	yellow	edible
273	flat	scaly	yellow	edible
274	convex	scaly	brown	edible
275	flat	scaly	brown	edible
276	convex	scaly	white	edible
277	flat	fibrous	brown	edible
278	convex	smooth	yellow	edible
279	convex	scaly	white	poisonous
280	bell	scaly	yellow	edible
281	sunken	fibrous	brown	edible
282	convex	smooth	yellow	edible
283	bell	scaly	white	edible
284	flat	scaly	brown	edible
285	bell	scaly	yellow	edible
286	bell	scaly	white	edible
287	convex	scaly	brown	edible
288	flat	fibrous	gray	edible
289	convex	fibrous	gray	edible
290	bell	scaly	yellow	edible
291	convex	smooth	yellow	edible
292	bell	scaly	white	edible
293	convex	smooth	white	edible
294	bell	smooth	yellow	edible
295	convex	smooth	yellow	edible
296	convex	fibrous	gray	edible
297	flat	smooth	yellow	edible
298	convex	scaly	white	poisonous
299	convex	fibrous	white	edible
300	bell	scaly	white	edible
301	convex	smooth	yellow	edible
302	bell	scaly	white	edible
303	convex	scaly	white	edible
304	convex	fibrous	brown	edible
305	bell	scaly	white	edible
306	convex	smooth	yellow	edible
307	flat	scaly	brown	edible
308	convex	fibrous	white	edible
309	convex	smooth	yellow	edible
310	convex	scaly	white	poisonous
311	convex	scaly	yellow	edible
312	convex	fibrous	white	edible
313	bell	smooth	yellow	edible
314	convex	scaly	white	poisonous
315	convex	smooth	yellow	edible
316	convex	scaly	white	edible
317	convex	fibrous	white	edible
318	flat	smooth	white	edible
319	convex	scaly	yellow	edible
320	flat	fibrous	yellow	edible
321	convex	smooth	white	edible
322	bell	scaly	yellow	edible
323	convex	scaly	brown	edible
324	bell	scaly	white	edible
325	convex	smooth	yellow	edible
326	convex	scaly	brown	poisonous
327	bell	smooth	yellow	edible
328	bell	scaly	white	edible
329	convex	scaly	brown	poisonous
330	bell	smooth	white	edible
331	bell	scaly	yellow	edible
332	bell	scaly	yellow	edible
333	convex	scaly	white	edible
334	convex	fibrous	brown	edible
335	convex	scaly	brown	edible
336	bell	smooth	yellow	edible
337	convex	fibrous	gray	edible
338	convex	scaly	brown	edible
339	convex	smooth	white	edible
340	bell	scaly	white	edible
341	convex	smooth	yellow	edible
342	flat	fibrous	yellow	edible
343	bell	scaly	yellow	edible
344	convex	fibrous	brown	edible
345	convex	fibrous	yellow	edible
346	convex	smooth	yellow	edible
347	flat	smooth	gray	edible
348	convex	fibrous	brown	edible
349	flat	smooth	gray	edible
350	flat	scaly	brown	edible
351	bell	scaly	white	edible
352	bell	smooth	yellow	edible
353	convex	scaly	yellow	edible
354	sunken	fibrous	gray	edible
355	flat	scaly	brown	edible
356	convex	scaly	brown	poisonous
357	convex	scaly	yellow	edible
358	convex	scaly	yellow	edible
359	convex	fibrous	brown	edible
360	convex	fibrous	brown	edible
361	flat	smooth	brown	edible
362	flat	scaly	brown	edible
363	convex	smooth	yellow	edible
364	flat	fibrous	brown	edible
365	convex	scaly	yellow	edible
366	convex	fibrous	yellow	edible
367	bell	scaly	yellow	edible
368	convex	fibrous	gray	edible
369	convex	scaly	yellow	edible
370	flat	scaly	brown	edible
371	convex	smooth	yellow	edible
372	sunken	fibrous	brown	edible
373	convex	smooth	white	edible
374	bell	smooth	white	edible
375	sunken	fibrous	brown	edible
376	bell	scaly	yellow	edible
377	convex	scaly	yellow	edible
378	bell	scaly	yellow	edible
379	convex	scaly	brown	poisonous
380	convex	smooth	white	edible
381	convex	scaly	white	edible
382	bell	smooth	white	edible
383	convex	fibrous	brown	edible
384	convex	smooth	brown	poisonous
385	convex	scaly	brown	edible
386	convex	smooth	brown	edible
387	bell	scaly	yellow	edible
388	convex	smooth	yellow	edible
389	bell	smooth	yellow	edible
390	convex	smooth	yellow	edible
391	bell	scaly	white	edible
392	convex	fibrous	gray	edible
393	flat	scaly	brown	edible
394	convex	fibrous	gray	edible
395	convex	smooth	white	edible
396	convex	scaly	yellow	edible
397	convex	fibrous	gray	edible
398	convex	smooth	brown	poisonous
399	bell	scaly	white	edible
400	bell	scaly	white	edible
401	convex	scaly	brown	poisonous
402	bell	smooth	yellow	edible
403	convex	smooth	white	edible
404	convex	scaly	yellow	edible
405	bell	scaly	yellow	edible
406	convex	smooth	white	edible
407	convex	smooth	white	edible
408	convex	scaly	brown	edible
409	convex	smooth	white	edible
410	convex	smooth	brown	edible
411	convex	scaly	brown	edible
412	convex	scaly	yellow	edible
413	convex	scaly	brown	poisonous
414	bell	scaly	yellow	edible
415	convex	fibrous	white	edible
416	convex	smooth	brown	poisonous
417	convex	scaly	yellow	edible
418	flat	fibrous	gray	edible
419	convex	scaly	white	edible
420	bell	scaly	white	edible
421	convex	scaly	brown	poisonous
422	flat	scaly	brown	edible
423	convex	smooth	white	edible
424	convex	smooth	white	edible
425	flat	scaly	brown	edible
426	bell	smooth	white	edible
427	convex	smooth	white	edible
428	flat	fibrous	gray	edible
429	convex	scaly	white	edible
430	convex	scaly	yellow	edible
431	bell	smooth	yellow	edible
432	bell	smooth	yellow	edible
433	flat	smooth	white	edible
434	bell	smooth	white	edible
435	convex	fibrous	yellow	edible
436	convex	scaly	white	edible
437	bell	scaly	yellow	edible
438	convex	scaly	brown	edible
439	convex	scaly	white	edible
440	convex	scaly	white	edible
441	convex	scaly	yellow	edible
442	convex	scaly	white	edible
443	convex	smooth	yellow	edible
444	convex	scaly	brown	edible
445	convex	smooth	white	edible
446	flat	scaly	brown	edible
447	bell	smooth	white	edible
448	convex	fibrous	brown	edible
449	convex	scaly	white	edible
450	bell	smooth	white	edible
451	bell	smooth	yellow	edible
452	convex	fibrous	yellow	edible
453	bell	smooth	white	edible
454	convex	smooth	gray	edible
455	bell	smooth	white	edible
456	bell	smooth	yellow	edible
457	flat	scaly	yellow	edible
458	flat	scaly	brown	edible
459	convex	smooth	white	edible
460	flat	scaly	yellow	edible
461	bell	smooth	white	edible
462	convex	scaly	yellow	edible
463	convex	fibrous	brown	edible
464	flat	scaly	brown	edible
465	convex	smooth	white	edible
466	convex	smooth	yellow	edible
467	bell	scaly	yellow	edible
468	flat	scaly	yellow	edible
469	convex	scaly	yellow	edible
470	convex	scaly	white	edible
471	flat	fibrous	white	edible
472	sunken	fibrous	gray	edible
473	flat	smooth	yellow	edible
474	flat	fibrous	gray	edible
475	convex	fibrous	brown	edible
476	bell	scaly	white	edible
477	convex	smooth	white	edible
478	bell	scaly	yellow	edible
479	bell	scaly	yellow	edible
480	bell	scaly	yellow	edible
481	flat	smooth	white	edible
482	flat	fibrous	gray	edible
483	flat	smooth	white	edible
484	flat	scaly	yellow	edible
485	convex	scaly	white	edible
486	sunken	fibrous	brown	edible
487	convex	scaly	brown	edible
488	convex	scaly	brown	edible
489	flat	fibrous	yellow	edible
490	flat	smooth	brown	poisonous
491	convex	smooth	brown	poisonous
492	flat	scaly	brown	edible
493	convex	scaly	yellow	edible
494	bell	smooth	yellow	edible
495	flat	fibrous	white	edible
496	flat	scaly	brown	edible
497	convex	scaly	white	edible
498	bell	smooth	yellow	edible
499	convex	smooth	yellow	edible
500	bell	scaly	yellow	edible
501	convex	smooth	white	edible
502	bell	smooth	yellow	edible
503	bell	scaly	yellow	edible
504	convex	smooth	brown	poisonous
505	convex	smooth	gray	edible
506	flat	smooth	brown	edible
507	convex	fibrous	white	edible
508	flat	fibrous	gray	edible
509	flat	fibrous	brown	edible
510	bell	scaly	yellow	edible
511	convex	fibrous	white	edible
512	sunken	fibrous	gray	edible
513	convex	fibrous	brown	edible
514	convex	fibrous	white	edible
515	convex	scaly	brown	edible
516	bell	smooth	yellow	edible
517	convex	scaly	white	edible
518	convex	scaly	yellow	edible
519	convex	smooth	white	edible
520	bell	smooth	white	edible
521	flat	scaly	yellow	edible
522	convex	smooth	brown	poisonous
523	flat	fibrous	gray	edible
524	bell	smooth	yellow	edible
525	flat	scaly	brown	edible
526	convex	smooth	yellow	edible
527	convex	fibrous	brown	edible
528	flat	scaly	yellow	edible
529	convex	scaly	brown	edible
530	convex	smooth	white	edible
531	convex	scaly	white	poisonous
532	flat	scaly	brown	edible
533	flat	smooth	brown	poisonous
534	convex	fibrous	white	edible
535	bell	scaly	white	edible
536	sunken	fibrous	brown	edible
537	convex	scaly	yellow	edible
538	flat	smooth	white	edible
539	convex	smooth	yellow	edible
540	flat	fibrous	gray	edible
541	convex	scaly	white	poisonous
542	convex	scaly	yellow	edible
543	flat	fibrous	brown	edible
544	convex	smooth	white	edible
545	bell	scaly	yellow	edible
546	flat	fibrous	gray	edible
547	convex	fibrous	yellow	edible
548	convex	smooth	yellow	edible
549	flat	fibrous	brown	edible
550	convex	fibrous	gray	edible
551	convex	scaly	yellow	edible
552	flat	smooth	white	edible
553	convex	smooth	yellow	edible
554	flat	scaly	yellow	edible
555	convex	scaly	brown	poisonous
556	convex	fibrous	white	edible
557	convex	smooth	white	edible
558	convex	scaly	yellow	edible
559	bell	smooth	yellow	edible
560	convex	smooth	yellow	edible
561	convex	smooth	yellow	edible
562	convex	fibrous	white	edible
563	bell	smooth	white	edible
564	convex	scaly	white	poisonous
565	convex	scaly	yellow	edible
566	flat	smooth	gray	edible
567	convex	smooth	brown	poisonous
568	bell	scaly	white	edible
569	convex	smooth	white	edible
570	flat	fibrous	yellow	edible
571	convex	smooth	yellow	edible
572	bell	scaly	white	edible
573	convex	scaly	brown	edible
574	convex	smooth	yellow	edible
575	convex	fibrous	brown	edible
576	convex	smooth	yellow	edible
577	convex	scaly	yellow	edible
578	convex	smooth	brown	poisonous
579	convex	smooth	white	edible
580	convex	smooth	yellow	edible
581	convex	scaly	white	edible
582	convex	scaly	yellow	edible
583	flat	scaly	yellow	edible
584	convex	scaly	white	edible
585	sunken	fibrous	gray	edible
586	flat	fibrous	brown	edible
587	sunken	fibrous	gray	edible
588	convex	scaly	white	edible
589	convex	smooth	white	poisonous
590	convex	smooth	gray	edible
591	convex	scaly	yellow	edible
592	convex	scaly	white	poisonous
593	convex	smooth	yellow	edible
594	convex	smooth	brown	poisonous
595	bell	smooth	yellow	edible
596	bell	scaly	white	edible
597	convex	scaly	white	poisonous
598	convex	smooth	brown	poisonous
599	convex	smooth	gray	edible
600	convex	scaly	brown	edible
601	flat	fibrous	white	edible
602	flat	scaly	brown	edible
603	bell	scaly	white	edible
604	bell	smooth	white	edible
605	convex	smooth	gray	edible
606	flat	scaly	brown	edible
607	convex	smooth	white	edible
608	flat	fibrous	gray	edible
609	flat	smooth	brown	edible
610	convex	fibrous	gray	edible
611	flat	smooth	white	edible
612	convex	smooth	white	poisonous
613	convex	scaly	yellow	edible
614	bell	smooth	white	edible
615	flat	fibrous	gray	edible
616	bell	scaly	white	edible
617	bell	smooth	yellow	edible
618	sunken	fibrous	gray	edible
619	flat	scaly	yellow	edible
620	bell	smooth	white	edible
621	convex	fibrous	white	edible
622	flat	scaly	yellow	edible
623	flat	fibrous	gray	edible
624	convex	smooth	white	edible
625	flat	fibrous	yellow	edible
626	sunken	fibrous	gray	edible
627	bell	scaly	white	edible
628	bell	smooth	white	edible
629	flat	fibrous	brown	edible
630	bell	scaly	yellow	edible
631	convex	fibrous	brown	edible
632	convex	scaly	brown	edible
633	convex	scaly	brown	edible
634	bell	scaly	yellow	edible
635	flat	scaly	yellow	edible
636	convex	scaly	yellow	edible
637	convex	smooth	brown	edible
638	convex	scaly	white	edible
639	bell	scaly	yellow	edible
640	convex	scaly	brown	edible
641	flat	scaly	brown	edible
642	flat	scaly	brown	edible
643	flat	scaly	yellow	edible
644	convex	smooth	yellow	edible
645	bell	scaly	white	edible
646	bell	smooth	white	edible
647	convex	scaly	yellow	edible
648	flat	fibrous	white	edible
649	convex	smooth	yellow	edible
650	bell	smooth	yellow	edible
651	flat	scaly	yellow	edible
652	convex	scaly	brown	poisonous
653	convex	scaly	white	poisonous
654	convex	smooth	yellow	edible
655	flat	fibrous	white	edible
656	bell	smooth	yellow	edible
657	convex	scaly	yellow	edible
658	flat	fibrous	gray	edible
659	bell	smooth	white	edible
660	convex	smooth	white	edible
661	convex	scaly	brown	poisonous
662	convex	smooth	brown	poisonous
663	bell	smooth	white	edible
664	bell	smooth	yellow	edible
665	flat	scaly	brown	edible
666	convex	scaly	yellow	edible
667	flat	scaly	yellow	edible
668	convex	scaly	white	edible
669	convex	smooth	yellow	edible
670	flat	fibrous	brown	edible
671	flat	fibrous	brown	edible
672	convex	fibrous	yellow	edible
673	flat	scaly	yellow	edible
674	flat	fibrous	brown	edible
675	flat	fibrous	gray	edible
676	convex	scaly	brown	edible
677	convex	scaly	yellow	edible
678	bell	smooth	white	edible
679	convex	smooth	white	edible
680	convex	scaly	white	edible
681	convex	fibrous	yellow	edible
682	bell	smooth	yellow	edible
683	convex	fibrous	brown	edible
684	convex	scaly	white	edible
685	flat	fibrous	gray	edible
686	bell	scaly	white	edible
687	convex	scaly	yellow	edible
688	convex	smooth	white	edible
689	bell	smooth	yellow	edible
690	bell	scaly	white	edible
691	convex	scaly	brown	edible
692	flat	smooth	gray	edible
693	convex	scaly	brown	poisonous
694	bell	scaly	white	edible
695	bell	smooth	yellow	edible
696	convex	scaly	brown	poisonous
697	convex	smooth	brown	poisonous
698	flat	smooth	brown	edible
699	convex	smooth	brown	poisonous
700	flat	fibrous	gray	edible
701	convex	scaly	yellow	edible
702	bell	scaly	white	edible
703	flat	scaly	yellow	edible
704	flat	scaly	yellow	edible
705	bell	scaly	yellow	edible
706	sunken	fibrous	brown	edible
707	convex	smooth	white	edible
708	bell	scaly	yellow	edible
709	flat	scaly	yellow	edible
710	flat	smooth	brown	edible
711	convex	smooth	white	edible
712	bell	scaly	yellow	edible
713	bell	scaly	yellow	edible
714	bell	scaly	yellow	edible
715	bell	smooth	white	edible
716	convex	scaly	yellow	edible
717	convex	scaly	brown	edible
718	sunken	fibrous	brown	edible
719	flat	scaly	brown	edible
720	convex	smooth	white	edible
721	flat	smooth	yellow	edible
722	convex	smooth	brown	edible
723	flat	scaly	yellow	edible
724	convex	scaly	brown	poisonous
725	convex	smooth	white	edible
726	convex	fibrous	white	edible
727	bell	smooth	white	edible
728	convex	scaly	white	edible
729	flat	scaly	yellow	edible
730	convex	fibrous	brown	edible
731	convex	smooth	white	poisonous
732	convex	scaly	white	poisonous
733	convex	scaly	white	edible
734	bell	scaly	white	edible
735	convex	fibrous	white	edible
736	convex	scaly	white	poisonous
737	convex	smooth	white	edible
738	convex	fibrous	gray	edible
739	convex	fibrous	brown	edible
740	bell	smooth	white	edible
741	convex	scaly	brown	edible
742	bell	scaly	white	edible
743	flat	scaly	yellow	edible
744	convex	scaly	white	edible
745	bell	scaly	white	edible
746	bell	scaly	white	edible
747	convex	smooth	brown	poisonous
748	flat	smooth	yellow	edible
749	convex	scaly	brown	edible
750	bell	smooth	yellow	edible
751	flat	smooth	white	edible
752	bell	scaly	yellow	edible
753	bell	scaly	yellow	edible
754	bell	smooth	yellow	edible
755	flat	scaly	yellow	edible
756	convex	smooth	white	edible
757	bell	scaly	yellow	edible
758	convex	scaly	brown	edible
759	bell	smooth	white	edible
760	flat	scaly	brown	edible
761	convex	smooth	white	edible
762	convex	fibrous	brown	edible
763	convex	scaly	brown	edible
764	flat	fibrous	gray	edible
765	convex	smooth	white	edible
766	flat	fibrous	brown	edible
767	bell	scaly	yellow	edible
768	bell	smooth	white	edible
769	convex	smooth	white	edible
770	bell	smooth	yellow	edible
771	convex	scaly	yellow	edible
772	convex	smooth	yellow	edible
773	flat	fibrous	gray	edible
774	convex	scaly	yellow	edible
775	convex	scaly	brown	poisonous
776	convex	scaly	brown	edible
777	convex	smooth	yellow	edible
778	bell	scaly	white	edible
779	convex	scaly	yellow	edible
780	sunken	fibrous	brown	edible
781	bell	scaly	yellow	edible
782	convex	smooth	white	edible
783	convex	smooth	white	edible
784	convex	smooth	brown	poisonous
785	convex	fibrous	brown	edible
786	convex	scaly	yellow	edible
787	convex	scaly	brown	poisonous
788	convex	scaly	yellow	edible
789	bell	scaly	yellow	edible
790	flat	scaly	brown	edible
791	convex	scaly	white	edible
792	convex	smooth	yellow	edible
793	convex	scaly	brown	poisonous
794	convex	scaly	brown	poisonous
795	bell	scaly	yellow	edible
796	convex	smooth	white	edible
797	convex	smooth	white	poisonous
798	convex	scaly	brown	edible
799	bell	smooth	white	edible
800	convex	scaly	yellow	edible
801	convex	smooth	brown	poisonous
802	bell	scaly	yellow	edible
803	bell	scaly	white	edible
804	flat	scaly	yellow	edible
805	bell	scaly	white	edible
806	convex	scaly	yellow	edible
807	bell	smooth	yellow	edible
808	convex	smooth	yellow	edible
809	bell	smooth	yellow	edible
810	bell	smooth	yellow	edible
811	convex	scaly	white	poisonous
812	convex	scaly	white	poisonous
813	convex	smooth	brown	poisonous
814	convex	smooth	white	edible
815	convex	scaly	brown	edible
816	convex	scaly	yellow	edible
817	convex	smooth	white	edible
818	bell	scaly	white	edible
819	bell	smooth	yellow	edible
820	convex	fibrous	gray	edible
821	bell	smooth	yellow	edible
822	convex	smooth	white	edible
823	convex	scaly	brown	edible
824	convex	scaly	yellow	edible
825	flat	fibrous	white	edible
826	flat	fibrous	white	edible
827	convex	smooth	white	edible
828	flat	smooth	yellow	edible
829	sunken	fibrous	gray	edible
830	flat	fibrous	yellow	edible
831	convex	scaly	brown	edible
832	convex	scaly	yellow	edible
833	convex	scaly	yellow	edible
834	convex	smooth	brown	poisonous
835	convex	smooth	yellow	edible
836	convex	scaly	white	poisonous
837	convex	scaly	yellow	edible
838	convex	scaly	white	edible
839	flat	smooth	yellow	edible
840	convex	scaly	brown	poisonous
841	bell	smooth	white	edible
842	sunken	fibrous	gray	edible
843	convex	smooth	yellow	edible
844	convex	fibrous	gray	edible
845	convex	scaly	yellow	edible
846	bell	scaly	white	edible
847	bell	smooth	yellow	edible
848	convex	smooth	white	edible
849	bell	smooth	white	edible
850	flat	scaly	brown	edible
851	sunken	fibrous	gray	edible
852	convex	fibrous	white	edible
853	sunken	fibrous	brown	edible
854	flat	scaly	brown	edible
855	flat	smooth	yellow	edible
856	bell	smooth	yellow	edible
857	bell	smooth	yellow	edible
858	convex	smooth	brown	poisonous
859	flat	scaly	brown	edible
860	convex	smooth	yellow	edible
861	flat	scaly	yellow	edible
862	convex	scaly	white	edible
863	convex	scaly	yellow	edible
864	convex	scaly	yellow	edible
865	flat	fibrous	brown	edible
866	flat	scaly	yellow	edible
867	convex	fibrous	gray	edible
868	convex	smooth	yellow	edible
869	flat	scaly	brown	edible
870	convex	smooth	yellow	edible
871	convex	scaly	yellow	edible
872	convex	fibrous	brown	edible
873	convex	smooth	white	edible
874	convex	scaly	yellow	edible
875	convex	scaly	white	edible
876	convex	smooth	white	edible
877	flat	scaly	yellow	edible
878	bell	smooth	yellow	edible
879	flat	fibrous	white	edible
880	flat	smooth	gray	edible
881	convex	scaly	white	edible
882	convex	scaly	white	edible
883	flat	scaly	yellow	edible
884	convex	smooth	white	edible
885	convex	smooth	yellow	edible
886	flat	scaly	yellow	edible
887	convex	scaly	yellow	edible
888	convex	smooth	yellow	edible
889	convex	fibrous	brown	edible
890	flat	scaly	yellow	edible
891	convex	smooth	white	edible
892	bell	smooth	yellow	edible
893	convex	smooth	yellow	edible
894	convex	scaly	brown	edible
895	bell	scaly	yellow	edible
896	convex	smooth	white	edible
897	convex	scaly	white	edible
898	convex	smooth	yellow	edible
899	flat	scaly	yellow	edible
900	convex	fibrous	white	edible
901	convex	smooth	brown	edible
902	convex	smooth	white	edible
903	convex	smooth	yellow	edible
904	flat	fibrous	white	edible
